pathway,overlap,pathway_size,p_value,enrichment
GOBP_COLLATERAL_SPROUTING,5,7,6.504148531392133e-06,0.7142857142857143
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS,29,278,0.00014005183375205145,0.10431654676258993
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,16,119,0.0003072424088801225,0.13445378151260504
GOBP_DENDRITE_DEVELOPMENT,11,71,0.0008283299752794763,0.15492957746478872
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,39,461,0.0008446831426369306,0.08459869848156182
GOBP_REGULATION_OF_CELL_DIFFERENTIATION,47,595,0.0010628250304583321,0.07899159663865546
GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION,3,5,0.0012288742255043262,0.6
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,12,87,0.0013986859089044708,0.13793103448275862
GOBP_BLOOD_VESSEL_MORPHOGENESIS,25,260,0.0014121913237763978,0.09615384615384616
GOBP_ANGIOGENESIS,21,204,0.001475124517788721,0.10294117647058823
GOBP_VASCULATURE_DEVELOPMENT,28,305,0.0014878727486377361,0.09180327868852459
GOBP_DEVELOPMENTAL_CELL_GROWTH,10,65,0.0015065930034843318,0.15384615384615385
GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS,5,19,0.0021693460058637044,0.2631578947368421
GOBP_RESPONSE_TO_AMINO_ACID_STARVATION,3,6,0.0023650674307736925,0.5
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION,3,6,0.0023650674307736925,0.5
GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,10,69,0.002392744464457253,0.14492753623188406
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,12,96,0.0032809907592533617,0.125
GOBP_RESPONSE_TO_DEXAMETHASONE,4,13,0.0033219527519889286,0.3076923076923077
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,8,50,0.0034589714764872515,0.16
GOBP_GENERATION_OF_NEURONS,42,550,0.003983006797163252,0.07636363636363637
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,48,651,0.004073563108630029,0.07373271889400922
GOBP_NEGATIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,47,636,0.004320559535422378,0.07389937106918239
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,7,42,0.004879164300972957,0.16666666666666666
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,17,168,0.004973695501012462,0.10119047619047619
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,14,128,0.005329718772438445,0.109375
GOBP_REGULATION_OF_AUTOPHAGY,6,33,0.005827226412564993,0.18181818181818182
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,4,15,0.005849445863452929,0.26666666666666666
GOBP_MRNA_METABOLIC_PROCESS,10,78,0.005925297510539108,0.1282051282051282
GOBP_EXIT_FROM_MITOSIS,3,8,0.0061339619570376265,0.375
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,8,55,0.006298809047814371,0.14545454545454545
GOBP_GLUCOSE_METABOLIC_PROCESS,7,44,0.006355061587836017,0.1590909090909091
GOBP_MRNA_TRANSCRIPTION,5,24,0.00643363197649518,0.20833333333333334
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,5,24,0.00643363197649518,0.20833333333333334
GOBP_CELL_PROJECTION_ORGANIZATION,32,403,0.007004742829342001,0.0794044665012407
GOBP_CELL_MORPHOGENESIS,27,324,0.0070718883818280944,0.08333333333333333
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,4,16,0.007491130281001122,0.25
GOBP_RESPONSE_TO_MINERALOCORTICOID,4,16,0.007491130281001122,0.25
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,38,506,0.008302050216653617,0.07509881422924901
GOBP_CELLULAR_RESPONSE_TO_DEXAMETHASONE_STIMULUS,3,9,0.008856591485702088,0.3333333333333333
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,6,36,0.00901894904494449,0.16666666666666666
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,6,36,0.00901894904494449,0.16666666666666666
GOBP_TUBE_MORPHOGENESIS,31,394,0.009065816194150122,0.07868020304568528
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION,10,83,0.009168759035821502,0.12048192771084337
GOBP_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,4,17,0.009409754296442066,0.23529411764705882
GOBP_RESPONSE_TO_WOUNDING,17,181,0.010387547324759973,0.09392265193370165
GOBP_DENDRITIC_SPINE_DEVELOPMENT,5,27,0.010786130824943825,0.18518518518518517
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,5,27,0.010786130824943825,0.18518518518518517
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,9,73,0.011410569732336515,0.1232876712328767
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,3,10,0.012179975898806004,0.3
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,13,127,0.012290254414713356,0.10236220472440945
GOBP_MAINTENANCE_OF_CELL_NUMBER,9,74,0.012430637965567117,0.12162162162162163
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT,40,553,0.012550282130664834,0.07233273056057866
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS,7,50,0.012782679284435125,0.14
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS,8,62,0.01287991415364352,0.12903225806451613
GOBP_PLACENTA_DEVELOPMENT,9,75,0.013517284699977084,0.12
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,8,63,0.014123920144913187,0.12698412698412698
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,4,19,0.014142675688149886,0.21052631578947367
GOBP_POSITIVE_CHEMOTAXIS,5,29,0.014604083654847307,0.1724137931034483
GOBP_MACROPHAGE_DIFFERENTIATION,5,29,0.014604083654847307,0.1724137931034483
