gene,spliced_change,unspliced_change,total_change,relative_change,wt_total_expr
Cma1,-0.00010166969,-0.000504598,-0.0006062677,-0.023601018,0.0256881
Zfp687,-5.51939e-05,-0.00054932386,-0.00060451776,-0.0019558226,0.3090861
Atf4,-8.802116e-05,-0.00050760806,-0.0005956292,-0.0022582484,0.26375708
Dnah8,0.0001346618,0.00045198202,0.0005866438,0.0011569991,0.507039
Lcn3,-7.2723255e-05,-0.00049770996,-0.0005704332,-0.03082575,0.018504987
Zfp987,-8.300692e-05,-0.00048391148,-0.0005669184,-0.011121865,0.050973218
Etv2,-3.1287782e-06,-0.0005444102,-0.000547539,-0.009629467,0.056860678
Nfkb2,-0.00010916591,-0.00043652765,-0.00054569356,-0.0028121378,0.19404925
Hoxb7,-6.787386e-05,-0.0004744418,-0.00054231565,-0.0132470215,0.040938586
Fosl1,-6.2491745e-05,-0.00045406446,-0.0005165562,-0.0076142177,0.06784091
Vmn2r65,-6.163609e-05,-0.00044828746,-0.00050992356,-0.030856555,0.016525514
Cd300c,-6.529223e-05,-0.0004418902,-0.00050718244,-0.031718947,0.015989788
Rspo3,0.00012625754,0.0003798604,0.00050611794,0.0012266212,0.41261137
Pf4,-8.329423e-05,-0.00041533355,-0.0004986278,-0.029610053,0.016839713
Kcnh7,7.280707e-05,0.000420928,0.0004937351,0.000613381,0.8049402
Dsp,-4.914403e-05,-0.00044226646,-0.0004914105,-0.0005267042,0.93299127
Gm28047,-6.6386536e-05,-0.0004222542,-0.00048864074,-0.0045609414,0.10713585
Hey1,-8.91611e-05,-0.0003841538,-0.0004733149,-0.0036479954,0.12974647
Tcl1b1,-2.8681941e-05,-0.0004368862,-0.00046556816,-0.03605772,0.012911647
Gpld1,-3.156811e-05,-0.000432536,-0.00046410412,-0.002507342,0.18509795
Esrrb,-2.4139881e-05,-0.00043168664,-0.00045582652,-0.0009970304,0.45718408
Amica1,-4.4815242e-05,-0.00040898472,-0.00045379996,-0.0075599467,0.060026772
Col26a1,-0.00010693073,-0.00034481287,-0.0004517436,-0.0022950019,0.1968379
Alcam,7.8737736e-05,0.00036612153,0.00044485927,0.00059863453,0.7431232
Cd5,-5.9773214e-05,-0.00037989765,-0.00043967087,-0.009117377,0.048223294
Filip1,-5.632639e-05,-0.00037932396,-0.00043565035,-0.00053052907,0.821162
Zfp637,-7.496029e-05,-0.00035410002,-0.0004290603,-0.0026418772,0.16240726
Lamp3,-6.252993e-05,-0.00036510825,-0.00042763818,-0.015862534,0.026958907
Thyn1,-7.376075e-05,-0.00035196543,-0.00042572618,-0.0014511308,0.29337537
Zfp683,-5.7743862e-05,-0.0003672149,-0.00042495877,-0.010248992,0.04146337
Cxcr6,-7.521454e-05,-0.000348866,-0.00042408053,-0.008674161,0.048889995
Prss16,-6.776769e-05,-0.00035573356,-0.00042350125,-0.029558057,0.014327677
Tlr11,-4.9424823e-05,-0.00037287548,-0.0004223003,-0.03452528,0.012231527
Pgm5,-2.336502e-05,-0.000397861,-0.00042122602,-0.00049614394,0.84899956
Asb2,-5.093217e-05,-0.00036799908,-0.00041893125,-0.0004914177,0.85249513
Arntl2,-4.6223402e-05,-0.0003697574,-0.00041598082,-0.0010887366,0.38207656
Lipf,-5.634129e-05,-0.00035732426,-0.00041366555,-0.0085073,0.048624672
Zfp30,-7.674098e-05,-0.00033533573,-0.0004120767,-0.0012928788,0.31872794
Gm6086,-5.3701922e-05,-0.0003547687,-0.00040847063,-0.013274284,0.030771475
Arid5a,-6.7822635e-05,-0.00033887103,-0.00040669367,-0.0032427476,0.12541628
B930025P03Rik,-5.0604576e-05,-0.00035568513,-0.0004062897,-0.026843555,0.015135366
Gja4,-6.184261e-05,-0.00034328178,-0.0004051244,-0.017534645,0.023104124
Cxcl13,-2.798438e-05,-0.00037604012,-0.0004040245,-0.012692314,0.031832118
Zgpat,-4.2416155e-05,-0.0003594011,-0.00040181726,-0.0011435184,0.35138673
Opn1sw,-5.8202073e-05,-0.0003428012,-0.0004010033,-0.007716475,0.05196706
Gm14418,-5.4612756e-05,-0.0003453493,-0.00039996207,-0.0037909006,0.10550572
Erf,-7.8842044e-05,-0.00031845272,-0.00039729476,-0.0013362867,0.29731244
Zscan2,-6.980449e-05,-0.0003270805,-0.00039688498,-0.0016558878,0.23968098
Zfp467,-7.836521e-05,-0.0003155768,-0.000393942,-0.001260817,0.3124497
Gm14409,-3.8444065e-05,-0.000352785,-0.00039122906,-0.015654523,0.024991337
Tectb,-7.6621305e-05,-0.0003102189,-0.0003868402,-0.022927469,0.016872246
Ghrl,-3.326079e-05,-0.00035276264,-0.00038602343,-0.008150465,0.047362033
Aqp1,-5.6352466e-05,-0.000325609,-0.00038196146,-0.011284644,0.033847798
Mx1,-7.312978e-05,-0.00030856486,-0.00038169464,-0.0171344,0.02227641
Csrnp1,-7.118285e-05,-0.00030703843,-0.00037822127,-0.0020082032,0.18833804
Dmrta2,-3.3318996e-05,-0.00034282636,-0.00037614536,-0.0072158496,0.05212756
Atp6v0a2,-5.762279e-05,-0.00031760335,-0.00037522614,-0.00066958857,0.560383
Zbtb32,-6.4731576e-05,-0.0003063269,-0.00037105847,-0.013246967,0.028010722
Zhx3,-4.1037798e-05,-0.00032913685,-0.00037017465,-0.0009161001,0.40407655
Zfp978,-5.534105e-05,-0.00031446293,-0.00036980398,-0.011277311,0.03279176
Ahrr,-4.881993e-05,-0.00032081455,-0.00036963448,-0.002597955,0.14227891
Zfp965,-5.4241624e-05,-0.00031412859,-0.0003683702,-0.026908474,0.013689647
Klk10,-2.8548297e-05,-0.0003385814,-0.0003671297,-0.02083191,0.017623328
Ttn,-6.312132e-05,-0.00029987097,-0.0003629923,-0.00028853456,1.2580547
Bcl6b,-6.0021877e-05,-0.000302691,-0.0003627129,-0.010875105,0.033352487
Zfp628,-2.7447939e-05,-0.00033520162,-0.00036264956,-0.0015191349,0.23872101
Uts2b,-4.5351684e-05,-0.00031717494,-0.00036252663,-0.004896426,0.07403893
Ppp1r14c,-2.7433038e-05,-0.00033342838,-0.00036086142,-0.0005050174,0.7145523
Cyp2t4,-7.280521e-05,-0.00028791465,-0.00036071986,-0.008333714,0.043284304
Zfp989,-5.605654e-05,-0.00030177645,-0.000357833,-0.024514955,0.014596419
BC025920,-7.005036e-05,-0.0002863407,-0.00035639107,-0.0024622183,0.1447438
Atf3,-5.3457916e-05,-0.00030288845,-0.00035634637,-0.0020628925,0.17274103
Tcf19,-6.425381e-05,-0.00029030815,-0.00035456195,-0.00156733,0.22622027
Zfp119b,-6.739795e-05,-0.00028324872,-0.00035064667,-0.0023574485,0.14873981
Gata2,-4.1541643e-05,-0.0003080219,-0.00034956355,-0.011471949,0.030471057
Sult1e1,-4.7871144e-05,-0.00029947888,-0.00034735003,-0.024982395,0.013903692
Zfp422,-6.0796738e-05,-0.00028622895,-0.0003470257,-0.0013925133,0.24920808
Cd3g,-5.306583e-05,-0.00029373728,-0.0003468031,-0.014300146,0.024251617
Cyp21a1,-5.4445816e-05,-0.0002923524,-0.00034679822,-0.03363319,0.01031109
Ifi205,-4.5814086e-05,-0.0003002975,-0.0003461116,-0.015237432,0.022714462
Hsf4,-6.272178e-05,-0.00028299633,-0.00034571812,-0.021344872,0.016196676
Ctnna3,-2.8818846e-05,-0.0003144741,-0.00034329295,-0.00034522533,0.9944024
Nckap5,-2.849847e-05,-0.00031474978,-0.00034324825,-0.0023265993,0.14753206
Zfp354b,-4.6085566e-05,-0.00029587746,-0.00034196302,-0.004506101,0.0758888
Camta2,-4.8071146e-05,-0.00029341877,-0.0003414899,-0.0007717564,0.44248396
Prg2,-6.216252e-05,-0.00027781073,-0.00033997325,-0.03037424,0.011192716
Muc20,-5.139876e-05,-0.00028829277,-0.00033969153,-0.0110100815,0.030852672
Ly6e,-6.175786e-05,-0.0002777623,-0.00033952016,-0.0031561847,0.107572876
Alk,-3.3698976e-05,-0.0003048107,-0.00033850968,-0.0023127254,0.14636819
Myom1,-5.5491924e-05,-0.00028210878,-0.0003376007,-0.00034326155,0.9835086
Myo18b,-5.2571297e-05,-0.00028339028,-0.00033596158,-0.00038527,0.87201583
Foxo3,-4.6133995e-05,-0.00028719008,-0.00033332407,-0.0008827709,0.37758833
Zfp558,-4.61787e-05,-0.00028699636,-0.00033317506,-0.0012857378,0.2591313
Thra,-4.979968e-05,-0.00028273463,-0.0003325343,-0.00047115027,0.70579237
Pirb,-5.6731515e-05,-0.00027567428,-0.0003324058,-0.022672022,0.014661398
Lbx1,-6.4421445e-05,-0.00026472285,-0.0003291443,-0.010591762,0.0310754
Klf9,-4.902482e-05,-0.00027927756,-0.00032830238,-0.0019382638,0.16937952
Klre1,-4.5784283e-05,-0.0002811458,-0.00032693008,-0.012298966,0.026581816
Sirpb1c,-4.0578307e-05,-0.00028520823,-0.00032578653,-0.026459781,0.012312418
Rsl1,-3.452599e-05,-0.00029030442,-0.0003248304,-0.001809159,0.17954764
Des,-3.245473e-05,-0.00029164553,-0.00032410026,-0.00045534153,0.7117739
Zfp287,-5.0529838e-05,-0.00027309358,-0.00032362342,-0.0010101536,0.32037044
Efnb3,-5.468726e-05,-0.00026701204,-0.0003216993,-0.0008205582,0.39204925
Clec4f,-5.876948e-05,-0.0002627205,-0.00032149,-0.025716923,0.012501007
Crem,-3.2268465e-05,-0.00028908253,-0.000321351,-0.00068311393,0.4704207
Gm2026,-5.3858617e-05,-0.0002674628,-0.00032132142,-0.034286957,0.009371435
Wiz,-5.3286552e-05,-0.00026652217,-0.00031980872,-0.00083315844,0.38385093
Zfp97,-8.9116395e-05,-0.00023002177,-0.00031913817,-0.0019752414,0.1615691
Gm9946,-4.1199848e-05,-0.0002775248,-0.00031872466,-0.017040739,0.018703587
Zbtb8a,-3.516674e-05,-0.0002835244,-0.00031869113,-0.0011444634,0.27846327
Gm30948,-4.300475e-05,-0.0002756426,-0.00031864736,-0.0197171,0.016160864
Myocd,-4.1618943e-05,-0.00027620792,-0.00031782687,-0.00042292243,0.75150144
Arid1b,-4.3049455e-05,-0.00027424097,-0.00031729043,-0.00060440745,0.524961
Ttyh1,-4.8069283e-05,-0.0002689883,-0.0003170576,-0.009730754,0.032582942
Zfp563,-5.38826e-05,-0.00026242435,-0.00031630695,-0.0008644417,0.36590886
Zfp319,-6.322563e-05,-0.00025296863,-0.00031619426,-0.0018256853,0.173192
Slc2a1,4.4941902e-05,0.0002708435,0.0003157854,0.0004582171,0.689161
Olfr60,-3.8915314e-05,-0.0002759574,-0.0003148727,-0.030901926,0.010189321
Fpr2,-5.1469542e-05,-0.0002630651,-0.00031453464,-0.012271127,0.02563199
Zbtb8b,-5.7466328e-05,-0.00025530532,-0.00031277165,-0.0034649593,0.09026695
Ryr1,-7.7307224e-05,-0.00023417175,-0.00031147897,-0.0027882475,0.11171128
Cyp26b1,-2.8081238e-05,-0.00028334558,-0.00031142682,-0.0022126862,0.14074594
Lhx4,-5.275756e-05,-0.0002586469,-0.00031140447,-0.004895808,0.06360625
Nkx2-6,-2.249889e-05,-0.00028619915,-0.00030869804,-0.005141314,0.060042534
Etv1,-4.762411e-05,-0.0002605021,-0.0003081262,-0.0005836179,0.5279587
Zfp629,-5.9574842e-05,-0.00024838373,-0.00030795857,-0.0011938674,0.2579503
Tef,-4.968047e-05,-0.00025826693,-0.0003079474,-0.0006770182,0.45485827
Kcnk13,-4.678592e-05,-0.0002611205,-0.00030790642,-0.0032295515,0.09534021
Dmrta1,-5.1449984e-05,-0.0002562143,-0.00030766428,-0.0073014777,0.04213716
Pdia2,-4.172884e-05,-0.00026583252,-0.00030756136,-0.014122972,0.021777282
Zfp473,-4.3444335e-05,-0.0002635494,-0.00030699372,-0.0021877524,0.1403237
Zfp827,-3.963709e-05,-0.00026592612,-0.0003055632,-0.00037391394,0.81720185
Epha3,-2.9880553e-05,-0.00027553737,-0.00030541793,-0.0016343937,0.18686914
Dnase1l3,-5.7660975e-05,-0.0002476275,-0.00030528847,-0.014477454,0.021087065
Scx,-6.774068e-05,-0.00023554172,-0.0003032824,-0.0041627497,0.072856165
Gsdmc3,-6.339513e-05,-0.00023948867,-0.0003028838,-0.035213206,0.0086013265
Tspan10,-4.6142843e-05,-0.0002567172,-0.00030286005,-0.024356902,0.01243416
Pde1c,-5.6564808e-05,-0.00024597347,-0.00030253828,-0.0011105926,0.27241147
Zfp867,-5.8300793e-05,-0.00024417043,-0.00030247122,-0.0012125763,0.24944499
Ypel4,-5.136989e-05,-0.00025099888,-0.00030236878,-0.005149856,0.05871392
Eps8,-5.2176416e-05,-0.00024992228,-0.0003020987,-0.0013229098,0.22835913
Zfp457,-2.9437244e-05,-0.00027231872,-0.00030175596,-0.0013801367,0.21864198
Itga4,-5.9194863e-05,-0.00024224073,-0.0003014356,-0.001987065,0.1516988
Mef2a,-4.735589e-05,-0.00025355816,-0.00030091405,-0.0003717835,0.80937964
Krt77,-4.1740714e-05,-0.0002586227,-0.0003003634,-0.028525129,0.010529683
Sh3rf3,-2.7947128e-05,-0.0002706498,-0.00029859692,-0.0009925197,0.30084726
Uncx,-4.8353337e-05,-0.00025017187,-0.0002985252,-0.013341556,0.02237549
Nr3c1,-3.4354627e-05,-0.0002629459,-0.00029730052,-0.0009607824,0.30943576
Kctd8,-3.2797456e-05,-0.0002642721,-0.00029706955,-0.002300247,0.1291467
Rnf220,-4.848838e-05,-0.0002475083,-0.00029599667,-0.00060654955,0.4880007
Tfap2d,-3.321003e-05,-0.0002625063,-0.00029571634,-0.0041951058,0.070490696
Mlxipl,-3.8247555e-05,-0.00025694817,-0.00029519573,-0.0032227507,0.09159735
Laptm5,-5.2159652e-05,-0.00024244189,-0.00029460154,-0.012424472,0.023711294
Padi4,-3.5667792e-05,-0.00025886856,-0.00029453635,-0.0054522804,0.054020666
Vsx2,-6.37006e-05,-0.00023012795,-0.00029382855,-0.008444036,0.034797065
Gm28434,-2.332835e-05,-0.00027033128,-0.00029365963,-0.018395761,0.01596334
Zbtb43,-6.814301e-05,-0.00022529066,-0.00029343367,-0.0007545919,0.38886398
Zfp600,-4.598312e-05,-0.0002473332,-0.00029331632,-0.0058272765,0.05033496
Mpl,-4.5540044e-05,-0.00024685077,-0.00029239082,-0.017651819,0.016564244
Tox3,-4.2706728e-05,-0.00024935603,-0.00029206276,-0.0010174771,0.28704593
Shh,-4.7212467e-05,-0.0002443865,-0.00029159896,-0.009239271,0.03156072
Sprr3,-3.0246214e-05,-0.00026087556,-0.00029112177,-0.03196979,0.009106053
Cdon,-5.1170588e-05,-0.00023964047,-0.00029081106,-0.000672094,0.43269396
Dysf,-4.2647123e-05,-0.00024786592,-0.00029051304,-0.0004565772,0.6362845
Zfp526,-3.1277537e-05,-0.00025825948,-0.000289537,-0.0022727037,0.1273975
Parm1,-3.8594007e-05,-0.00025090575,-0.00028949976,-0.0006748775,0.42896628
Cux1,-3.1769276e-05,-0.00025728345,-0.00028905272,-0.00034542184,0.8368107
Gfra1,-5.632639e-05,-0.00023239106,-0.00028871745,-0.0021998198,0.13124585
Tcf24,-4.1071326e-05,-0.0002474375,-0.00028850883,-0.0028455523,0.101389304
Pias3,-4.1767955e-05,-0.00024664402,-0.00028841197,-0.0007400834,0.3897019
Actn2,-2.5600195e-05,-0.00026249886,-0.00028809905,-0.0002898392,0.9939961
Grid2,-3.916025e-05,-0.00024840236,-0.0002875626,-0.0007864366,0.36565253
Irf2,-3.6537647e-05,-0.0002502352,-0.00028677285,-0.00071335275,0.40200698
Zfp87,-5.3092837e-05,-0.00023268163,-0.00028577447,-0.0010030323,0.28491044
Col6a5,-4.0146522e-05,-0.0002453383,-0.00028548483,-0.010294033,0.027732939
Cyp4f18,-3.055716e-05,-0.00025399867,-0.00028455583,-0.016141346,0.017628903
RP24-216P6.3,-5.111494e-05,-0.00023302529,-0.00028414023,-0.02107756,0.013480598
Cd244,-5.024206e-05,-0.00023325905,-0.0002835011,-0.010637987,0.02664978
Zfp612,-5.8740377e-05,-0.0002214536,-0.00028019398,-0.000674953,0.41513103
Hoxc13,-4.341919e-05,-0.00023673661,-0.0002801558,-0.009487799,0.029527906
Tbr1,-4.4211745e-05,-0.00023537967,-0.00027959142,-0.008568744,0.032629117
Fev,-3.5390258e-05,-0.00024370104,-0.0002790913,-0.014821946,0.018829498
Nfic,-4.3734908e-05,-0.0002348721,-0.000278607,-0.0012765944,0.21824229
Ccr9,-4.1529536e-05,-0.00023674965,-0.00027827919,-0.0021837614,0.12743102
Rfxank,-4.9620867e-05,-0.00022862852,-0.00027824938,-0.00086138444,0.3230257
Cyp2g1,-7.0773065e-05,-0.00020720717,-0.00027798023,-0.0266546,0.0104288785
Clca3a1,-3.6213547e-05,-0.00024168566,-0.0002778992,-0.005242684,0.053006947
Fam19a2,-3.683567e-05,-0.00024087727,-0.00027771294,-0.0015618894,0.17780566
Six5,-5.5611134e-05,-0.00022196583,-0.00027757697,-0.00081105286,0.34224266
Gm14443,-4.8033893e-05,-0.00022953749,-0.00027757138,-0.0011801486,0.23520027
Slc24a3,-3.9219856e-05,-0.00023794174,-0.0002771616,-0.0005198218,0.53318566
Mybpc3,-3.325939e-05,-0.00024342537,-0.00027668476,-0.00028408752,0.9739418
Zfp608,-2.3409724e-05,-0.0002529025,-0.00027631223,-0.00049118634,0.5625404
Gm35216,-4.609162e-05,-0.0002300283,-0.0002761199,-0.023269996,0.011865821
A430033K04Rik,-4.054606e-05,-0.00023515522,-0.00027570128,-0.0007799511,0.35348526
Mpz,-4.273001e-05,-0.00023260247,-0.00027533248,-0.011019954,0.024984801
Foxa2,-4.050508e-05,-0.00023423415,-0.00027473923,-0.011362915,0.024178486
Gtf2ird1,-4.7683716e-05,-0.00022622943,-0.00027391315,-0.00045343814,0.6040804
Grhl1,5.659461e-05,0.0002169013,0.0002734959,0.00054993905,0.49732032
Clu,-4.4584274e-05,-0.00022881478,-0.00027339906,-0.0012147105,0.22507331
Rora,-2.7522445e-05,-0.00024572015,-0.0002732426,-0.00041002463,0.6664052
Zfp974,-3.5509467e-05,-0.0002373755,-0.00027288496,-0.0005857903,0.46584058
1700023F02Rik,-4.408043e-05,-0.0002284497,-0.00027253013,-0.0053751618,0.050701655
A930011G23Rik,-2.707541e-05,-0.0002450347,-0.0002721101,-0.00058439863,0.46562403
Atf7,-4.416704e-05,-0.00022780895,-0.000271976,-0.00047454212,0.5731334
Rbak,-5.2258372e-05,-0.00021910667,-0.00027136505,-0.0013687621,0.19825572
Dkk3,4.605949e-05,0.00022518635,0.00027124584,0.0004205521,0.6449755
Hmg20a,-3.7372112e-05,-0.00023385882,-0.00027123094,-0.00034062448,0.7962754
Sema5a,-4.2781234e-05,-0.00022777915,-0.00027056038,-0.0012509763,0.21627927
Fcgbp,-5.293009e-05,-0.00021750946,-0.00027043954,-0.020509208,0.013186151
Kcnq5,-1.6227365e-05,-0.0002541542,-0.00027038157,-0.00032740136,0.8258412
Gatad2b,-4.3809414e-05,-0.00022628903,-0.00027009845,-0.0004249485,0.63560265
Zfp276,-4.8592687e-05,-0.00022148341,-0.0002700761,-0.000835958,0.3230737
Stat1,-4.6871603e-05,-0.00022298098,-0.00026985258,-0.0011520162,0.23424363
Tgif1,-2.958253e-05,-0.00024002604,-0.00026960857,-0.003236275,0.083308205
Klhl6,-5.413592e-05,-0.00021526217,-0.0002693981,-0.0010234333,0.26322967
Trps1,-3.59267e-05,-0.00023305416,-0.00026898086,-0.0005678696,0.47366655
Zfp46,-4.0322542e-05,-0.00022859126,-0.0002689138,-0.0010557118,0.25472265
Elf1,-2.9154122e-05,-0.00023943186,-0.00026858598,-0.0008961999,0.29969418
Cdip1,-2.8550625e-05,-0.0002399981,-0.00026854873,-0.00032680508,0.8217396
Olfr110,-3.8863625e-05,-0.00022968464,-0.00026854826,-0.02401507,0.011182389
Nfil3,5.7131052e-05,0.00021137297,0.00026850402,0.0007036226,0.38160226
Atg9b,-4.9307477e-05,-0.00021897722,-0.0002682847,-0.016392525,0.016366182
Parp12,-4.643202e-05,-0.00022129714,-0.00026772916,-0.0013782438,0.19425374
Fmo9,-4.482246e-05,-0.00022259634,-0.0002674188,-0.021060841,0.012697342
Megf10,-5.343184e-05,-0.00021355599,-0.00026698783,-0.0022546225,0.118417874
Prdm6,3.6641955e-05,0.00022989511,0.00026653707,0.00066390383,0.4014693
Tmem178b,-4.377961e-05,-0.0002227351,-0.00026651472,-0.0024082528,0.110667154
Gm6329,-5.1490963e-05,-0.0002141986,-0.00026568957,-0.033619873,0.007902654
Pld4,-3.9881095e-05,-0.00022564083,-0.00026552193,-0.016187614,0.016402682
E430018J23Rik,-4.503131e-05,-0.00022042636,-0.00026545767,-0.005280415,0.05027202
Kcnk3,-3.6731362e-05,-0.00022862852,-0.00026535988,-0.00063323707,0.41905287
Vgll3,-3.3192337e-05,-0.00023175403,-0.00026494637,-0.0026265592,0.100871935
Snai3,-4.8886985e-05,-0.0002158694,-0.00026475638,-0.0035514908,0.07454786
Gm37381,-3.4415163e-05,-0.00023008697,-0.00026450213,-0.009245543,0.02860851
Agbl4,-1.886487e-05,-0.0002449751,-0.00026383996,-0.000569,0.46369052
Acvr1c,-3.440678e-05,-0.00022757053,-0.00026197731,-0.0016538672,0.15840277
Lyz2,-3.1381845e-05,-0.00023055356,-0.0002619354,-0.0052903374,0.049511943
Shisa6,-3.8012862e-05,-0.00022353232,-0.00026154518,-0.0014607795,0.17904484
Sox8,-4.1084364e-05,-0.00022016559,-0.00026124995,-0.006588798,0.039650522
Zfp108,-4.3414533e-05,-0.00021772925,-0.00026114378,-0.0053830435,0.04851219
Stard13,-4.1909516e-05,-0.00021837652,-0.00026028603,-0.0011635956,0.22369105
Dram1,-1.6063452e-05,-0.00024400651,-0.00026006997,-0.0034014974,0.076457396
Esrra,-2.9742718e-05,-0.00023016334,-0.00025990605,-0.0003494079,0.743847
Pias4,-5.1885843e-05,-0.00020755827,-0.00025944412,-0.00072823826,0.3562626
Zbtb18,-5.0276518e-05,-0.00020865351,-0.00025893003,-0.0010648577,0.24315917
Ldb3,-3.0964613e-05,-0.00022792816,-0.00025889277,-0.0002392896,1.0819223
Zfp383,-5.966425e-05,-0.00019918382,-0.00025884807,-0.00071813306,0.36044574
Zfp964,-4.851073e-05,-0.00020977855,-0.00025828928,-0.0014497684,0.17815888
Gm28526,-4.1317195e-05,-0.00021696463,-0.00025828183,-0.0048854724,0.05286722
Mecom,-4.5627356e-05,-0.00021257997,-0.00025820732,-0.00062170293,0.41532257
Zfp758,-4.3317676e-05,-0.00021484494,-0.00025816262,-0.00082644477,0.31237724
Zbtb37,-4.6610832e-05,-0.00021155179,-0.00025816262,-0.0005649864,0.4569359
Tph1,-9.189593e-06,-0.00024891645,-0.00025810604,-0.0052072434,0.04956663
Sema3c,-8.133054e-05,-0.00017598271,-0.00025731325,-0.00036702686,0.7010746
Slc38a8,-4.239753e-05,-0.00021431036,-0.0002567079,-0.011897545,0.021576442
Homez,-4.825741e-05,-0.00020843744,-0.00025669485,-0.00094283774,0.27225763
Usp32,-2.7611852e-05,-0.00022891164,-0.0002565235,-0.00041322698,0.62078094
Sox30,-4.223734e-05,-0.00021405146,-0.0002562888,-0.0037424946,0.06848064
Gm14393,-4.07286e-05,-0.00021552667,-0.00025625527,-0.0040102433,0.06390008
Zfp663,-4.9082562e-05,-0.00020709634,-0.0002561789,-0.0060057635,0.04265541
Zfp111,-4.1738153e-05,-0.0002136901,-0.00025542825,-0.0016140114,0.15825668
Zfp511,-5.404651e-05,-0.00020073354,-0.00025478005,-0.0008204606,0.31053287
Ahnak,-4.1738153e-05,-0.00021286309,-0.00025460124,-0.0007938619,0.32071215
Cacna1c,-2.9683113e-05,-0.00022470951,-0.00025439262,-0.00023367502,1.0886598
Zfp773,-2.6147813e-05,-0.0002270583,-0.00025320612,-0.0048183445,0.05255034
Pcdh17,-5.362183e-05,-0.00019919872,-0.00025282055,-0.0007669719,0.3296346
Ntn1,-2.3275614e-05,-0.00022906065,-0.00025233626,-0.0006001499,0.42045528
Zbtb38,-2.95192e-05,-0.00022280216,-0.00025232136,-0.0004951987,0.5095355
Mzf1,-4.8995018e-05,-0.00020325184,-0.00025224686,-0.0009707436,0.259849
Sox7,-4.3656677e-05,-0.00020771846,-0.00025137514,-0.00672522,0.03737788
Gm14295,-5.4344535e-05,-0.00019645318,-0.00025079772,-0.0025047767,0.10012768
Ikzf4,-4.412234e-05,-0.0002066493,-0.00025077164,-0.0006963584,0.36011857
RP23-297P22.1,-3.1795178e-05,-0.00021897629,-0.00025077147,-0.03711606,0.006756314
Zfp619,-5.4575503e-05,-0.00019565225,-0.00025022775,-0.0014299523,0.17499016
Fstl4,3.2424927e-05,0.00021746755,0.00024989247,0.00036403086,0.6864595
Pard3b,-2.0585954e-05,-0.00022929907,-0.00024988502,-0.0006502492,0.38429108
Zfp952,-5.210936e-05,-0.0001976788,-0.00024978817,-0.00080490956,0.31033063
Rcor1,-3.1769276e-05,-0.00021728873,-0.000249058,-0.00037884223,0.65741867
Scimp,-3.0802097e-05,-0.00021762308,-0.00024842517,-0.016061736,0.015466794
Vmn2r30,-4.021311e-05,-0.00020815246,-0.00024836557,-0.007049129,0.035233412
Art2b,-2.837868e-05,-0.00021993462,-0.0002483133,-0.032610666,0.007614381
Adam12,-4.2803586e-05,-0.0002054125,-0.0002482161,-0.001134089,0.21886817
Zkscan6,4.8473477e-05,0.00019906461,0.0002475381,0.0007061708,0.35053563
Dach1,-3.2171607e-05,-0.00021511316,-0.00024728477,-0.00043692894,0.56596094
Gm29260,-3.661588e-05,-0.00020994246,-0.00024655834,-0.0022891432,0.1077076
Amn,-5.5402517e-05,-0.00019085221,-0.00024625473,-0.0045496747,0.05412569
Tcf23,-3.249303e-05,-0.00021375669,-0.00024624972,-0.028626684,0.0086020045
Zfp160,-4.284084e-05,-0.0002028346,-0.00024567544,-0.0005644133,0.43527567
Jph2,-2.1129847e-05,-0.00022423267,-0.00024536252,-0.0002762813,0.8880894
1700047M11Rik,-4.0621497e-05,-0.00020466233,-0.00024528382,-0.022066664,0.011115483
Sox5,-3.0197203e-05,-0.00021469593,-0.00024489313,-0.00063795334,0.38387302
Cgnl1,3.4198165e-05,0.0002104938,0.00024469197,0.00054468814,0.44923306
Ifi203,-3.1789765e-05,-0.00021287613,-0.0002446659,-0.01455007,0.016815344
Abcc8,-2.6397407e-05,-0.00021798164,-0.00024437904,-0.0020678898,0.11817789
Ngp,-4.541548e-05,-0.00019886345,-0.00024427893,-0.01858334,0.013144949
4930554G24Rik,-3.6999118e-05,-0.0002070088,-0.00024400791,-0.008397613,0.029056719
Fgf8,-5.4582953e-05,-0.00018927827,-0.00024386123,-0.0020784882,0.11732615
Zfp820,4.6744943e-05,0.00019691885,0.00024366379,0.00087458786,0.27860403
Ptprt,-2.2383407e-05,-0.0002207905,-0.00024317391,-0.0016861884,0.14421505
Mmp13,-5.3982018e-05,-0.0001890473,-0.00024302932,-0.02225598,0.010919632
Zfp661,3.5263598e-05,0.00020761788,0.00024288148,0.0013907555,0.17463985
Tshz3,-4.044175e-05,-0.0002021566,-0.00024259835,-0.0013477859,0.17999758
Foxk1,-1.9803643e-05,-0.00022277236,-0.000242576,-0.0005941429,0.40827882
Zfp651,-4.8816204e-05,-0.00019332767,-0.00024214387,-0.00060723,0.39876786
Inpp4b,-3.671646e-05,-0.00020531565,-0.00024203211,-0.0013310516,0.18183516
Tmem71,-4.7378242e-05,-0.00019444525,-0.0002418235,-0.0011956336,0.20225543
Arpp21,-4.9576163e-05,-0.0001921244,-0.00024170056,-0.0022931795,0.10539966
Rorc,-3.434345e-05,-0.00020705815,-0.0002414016,-0.008327416,0.028988674
Klrb1b,-3.3249846e-05,-0.00020788424,-0.00024113408,-0.025524328,0.009447126
